"dir","pct_decoded","decoded","identified_decoder","decode_error"
" ¦   ¦--4026                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4030                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4038                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4043                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4046                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4050                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4051                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4060                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4061                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4066                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4067                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4077                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4079                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4086                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4096                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4097                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4099                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4108                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4126                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4168                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4169                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4171                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4180                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4190                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--4197                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
" ¦   ¦--5663                       ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦   ¦--5712                       ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦   ¦--5728                       ",NA,TRUE,"Decoder_Lotek.1300",""
" ¦   ¦--6                          ",NA,FALSE,"","argument is of length zero, if (.self$tag_already_loaded(con)) {
    return(TRUE)
}"
" ¦   °--ET 12_ LOTEK 1513          ",NA,FALSE,"","Matching decoders: 0"
" °--Spiny Dogfish                  ",77.8,NA,NA,NA
"     ¦--0300                       ",NA,TRUE,"Decoder_Lotek.1400.1800",""
"     ¦--2353                       ",NA,TRUE,"Decoder_Lotek.1300",""
"     ¦--2862                       ",NA,FALSE,"","Matching decoders: 0"
"     ¦--3938                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
"     ¦--4140                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
"     ¦--5294                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
"     ¦--5363                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
"     ¦--5392                       ",NA,TRUE,"Decoder_Lotek.1000.1100.1250",""
"     °--5663                       ",NA,FALSE,"","Matching decoders: 0"
